Name,AverageSpend,AverageFrequency
Customer1,88,48
Customer2,95,45.5
Customer3,92,46.8
Customer4,85,49.2
Customer5,90,44
Customer6,87,47.5
Customer7,94,50
Customer8,83,43.7
Customer9,89,45.9
Customer10,86,42.5
Customer11,82,10.5
Customer12,90,7
Customer13,88,12.2
Customer14,80,5.5
Customer15,85,9.8
Customer16,92,6
Customer17,78,11
Customer18,84,8.5
Customer19,79,13
Customer20,81,14.5
Customer21,25,48
Customer22,30,45.5
Customer23,35,46.2
Customer24,22,49
Customer25,40,44.5
Customer26,28,47
Customer27,33,43
Customer28,27,42.8
Customer29,32,46.5
Customer30,20,50
Customer31,18,10
Customer32,34,8.5
Customer33,15,6
Customer34,45,12
Customer35,19,5
Customer36,48,14
Customer37,22,11.5
Customer38,36,9
Customer39,17,7.5
Customer40,29,13.5
